                  上证指数 (000001)

      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA5   	   MA.MA13  	   MA.MA34  	   MA.MA144 	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	 SKDJ.K     	 SKDJ.D     	
 1990/12/19	  96.050	  99.980	  95.790	  99.980	           1260	           	           	           	           	           	      0.000	     12.600	           	           	      0.000	      0.000	      0.000	    100.000	           	
 1990/12/20	 104.300	 104.390	  99.980	 104.390	            197	           	           	           	           	           	      0.000	      1.970	           	           	      0.352	      0.070	      0.563	    100.000	           	
 1990/12/21	 109.070	 109.130	 103.730	 109.130	             28	           	           	           	           	           	      0.000	      0.280	           	           	      1.002	      0.257	      1.490	    100.000	    100.000	
 1990/12/24	 113.570	 114.550	 109.130	 114.550	             32	           	           	           	           	           	      0.000	      0.320	           	           	      1.932	      0.592	      2.680	    100.000	    100.000	
 1990/12/25	 120.090	 120.250	 114.550	 120.250	             15	    109.660	           	           	           	           	      0.000	      0.150	      3.064	           	      3.093	      1.092	      4.002	    100.000	    100.000	
 1990/12/26	 125.270	 125.270	 120.250	 125.270	            100	    114.718	           	           	           	           	      0.000	      1.000	      0.744	           	      4.368	      1.747	      5.242	    100.000	    100.000	
 1990/12/27	 125.270	 125.280	 125.270	 125.280	             66	    118.896	           	           	           	           	      0.000	      0.660	      0.482	           	      5.318	      2.461	      5.713	    100.000	    100.000	
 1990/12/28	 126.390	 126.450	 125.280	 126.450	            108	    122.360	           	           	           	           	      0.000	      1.080	      0.642	           	      6.095	      3.188	      5.814	    100.000	    100.000	
 1990/12/31	 126.560	 127.610	 126.480	 127.610	             78	    124.972	           	           	           	           	      0.000	      0.780	      0.734	           	      6.727	      3.896	      5.662	    100.000	    100.000	
 1991/01/02	 127.610	 128.840	 127.610	 128.840	             91	    126.690	           	           	           	           	      0.000	      0.910	      0.886	      1.975	      7.243	      4.565	      5.356	    100.000	    100.000	
 1991/01/03	 128.840	 130.140	 128.840	 130.140	            141	    127.664	           	           	           	           	      0.000	      1.410	      0.968	      0.856	      7.669	      5.186	      4.966	    100.000	    100.000	
 1991/01/04	 131.270	 131.440	 130.140	 131.440	            420	    128.896	           	           	           	           	      0.000	      4.200	      1.676	      1.079	      8.019	      5.753	      4.533	    100.000	    100.000	
 1991/01/07	 131.990	 132.060	 131.450	 132.060	            217	    130.018	    121.184	           	           	           	      0.000	      2.170	      1.894	      1.268	      8.251	      6.252	      3.998	    100.000	    100.000	
 1991/01/08	 132.620	 132.680	 132.060	 132.680	           2926	    131.032	    123.699	           	           	           	      0.000	     29.260	      7.590	      4.162	      8.389	      6.680	      3.418	    100.000	    100.000	
