                  上证指数 (000001)

      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA5   	   MA.MA13  	   MA.MA34  	   MA.MA144 	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	 SKDJ.K     	 SKDJ.D     	
 1990/12/21	  96.050	 109.130	  95.790	 109.130	             13	           	           	           	           	           	      0.000	     13.000	           	           	      0.000	      0.000	      0.000	    100.000	           	
 1990/12/28	 113.570	 126.450	 109.130	 126.450	              2	           	           	           	           	           	      0.000	      2.000	           	           	      1.382	      0.276	      2.211	    100.000	           	
 1991/01/04	 126.560	 131.440	 126.480	 131.440	              5	           	           	           	           	           	      0.000	      5.000	           	           	      2.846	      0.790	      4.112	    100.000	    100.000	
 1991/01/11	 131.990	 134.610	 131.450	 134.600	            319	           	           	           	           	           	      0.000	    319.000	           	           	      4.214	      1.475	      5.477	     99.994	     99.998	
 1991/01/18	 134.110	 135.190	 133.650	 134.240	            180	    127.172	           	           	           	           	      0.000	    180.000	    103.800	           	      5.208	      2.222	      5.973	     99.391	     99.795	
 1991/01/25	 133.700	 134.240	 132.030	 132.050	             85	    131.756	           	           	           	           	      0.000	     85.000	    118.200	           	      5.753	      2.928	      5.651	     97.400	     98.928	
 1991/02/01	 131.460	 131.550	 129.450	 129.510	             77	    132.368	           	           	           	           	      0.000	     77.000	    133.200	           	      5.912	      3.525	      4.775	     93.948	     96.913	
 1991/02/08	 129.050	 130.390	 128.060	 130.380	            189	    132.156	           	           	           	           	      0.000	    189.000	    170.000	           	      6.039	      4.028	      4.022	     91.546	     94.298	
 1991/02/14	 130.920	 132.530	 130.390	 132.530	            177	    131.742	           	           	           	           	      0.000	    177.000	    141.600	           	      6.241	      4.470	      3.541	     91.371	     92.289	
 1991/02/22	 133.120	 134.870	 133.080	 134.870	             91	    131.868	           	           	           	           	      0.000	     91.000	    123.800	    113.800	      6.514	      4.879	      3.270	     93.178	     92.032	
 1991/03/01	 134.370	 134.870	 132.470	 132.530	            113	    131.964	           	           	           	           	      0.000	    113.000	    129.400	    123.800	      6.468	      5.197	      2.542	     87.700	     90.750	
 1991/03/08	 132.090	 132.090	 129.840	 129.890	             55	    132.040	           	           	           	           	      0.000	     55.000	    125.000	    129.100	      6.147	      5.387	      1.520	     70.822	     83.900	
 1991/03/15	 129.300	 129.890	 125.080	 125.170	             28	    130.998	    129.445	           	           	           	      0.000	     28.000	     92.800	    131.400	      5.449	      5.399	      0.100	     49.120	     69.214	
 1991/03/22	 124.700	 125.170	 122.620	 122.620	             29	    129.016	    130.483	           	           	           	      0.000	     29.000	     63.200	    102.400	      4.637	      5.247	     -1.220	     31.414	     50.452	
 1991/03/29	 122.120	 122.620	 120.110	 120.190	             51	    126.080	    130.002	           	           	           	      0.000	     51.000	     55.200	     89.500	      3.754	      4.948	     -2.389	     19.270	     33.268	
 1991/04/05	 120.690	 122.200	 119.680	 121.540	            367	    123.882	    129.240	           	           	           	      0.000	    367.000	    106.000	    117.700	      3.127	      4.584	     -2.914	     14.477	     21.720	
 1991/04/12	 121.110	 121.110	 119.150	 119.210	             30	    121.746	    128.056	           	           	           	      0.000	     30.000	    101.000	    113.000	      2.414	      4.150	     -3.472	      9.755	     14.501	
 1991/04/19	 118.730	 119.220	 117.050	 117.080	             13	    120.128	    126.736	           	           	           	      0.000	     13.000	     98.000	     95.400	      1.658	      3.652	     -3.987	      6.178	     10.137	
 1991/04/26	 116.630	 117.080	 114.520	 115.560	            154	    118.716	    125.468	           	           	           	      0.000	    154.000	    123.000	     93.100	      0.926	      3.106	     -4.361	      5.017	      6.984	
 1991/05/03	 114.860	 116.290	 112.300	 112.410	            188	    117.160	    124.152	           	           	           	      0.000	    188.000	    150.400	    102.800	      0.090	      2.503	     -4.826	      3.611	      4.935	
 1991/05/10	 111.650	 112.410	 108.530	 108.530	             73	    114.558	    122.472	           	           	           	      0.000	     73.000	     91.600	     98.800	     -0.875	      1.828	     -5.405	      2.357	      3.662	
 1991/05/17	 107.880	 107.880	 104.960	 106.750	            239	    112.066	    120.488	           	           	           	      0.000	    239.000	    133.400	    117.200	     -1.763	      1.110	     -5.745	      3.669	      3.212	
 1991/05/24	 107.760	 110.080	 106.710	 110.080	            267	    110.666	    118.582	           	           	           	      0.000	    267.000	    184.200	    141.100	     -2.173	      0.453	     -5.252	     10.327	      5.451	
 1991/05/31	 111.050	 114.830	 109.470	 114.830	            122	    110.520	    117.220	           	           	           	      0.000	    122.000	    177.800	    150.400	     -2.091	     -0.056	     -4.070	     23.723	     12.573	
 1991/06/07	 115.900	 120.470	 114.890	 120.470	             51	    112.132	    116.495	           	           	           	      0.000	     51.000	    150.400	    150.400	     -1.553	     -0.355	     -2.395	     45.150	     26.400	
 1991/06/14	 121.650	 126.340	 120.470	 124.530	            296	    115.332	    116.446	           	           	           	      0.000	    296.000	    195.000	    143.300	     -0.789	     -0.442	     -0.695	     62.103	     43.659	
 1991/06/21	 125.630	 130.860	 123.540	 130.860	            261	    120.154	    117.080	           	           	           	      0.000	    261.000	    199.400	    166.400	      0.323	     -0.289	      1.223	     75.816	     61.023	
 1991/06/28	 132.100	 137.560	 131.800	 137.560	            162	    125.650	    118.416	           	           	           	      0.000	    162.000	    178.400	    181.300	      1.725	      0.114	      3.222	     85.290	     74.403	
